Product Name,Price,Original Prices,Discount rates,brand
Johnson's Baby No more Tears Shampoo with Hair oil,382,435,12% off,Johnson's
Nestle Nan Excella Pro Follow-up Formula-powder (Stage ...,720,NaN,Nan,Nestle
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Pampers Pant Style Diapers New Born - 62 Pieces - XS,650,699,7% off,Pampers
"LuvLap Baby 99% Pure Water Wipes, 72 wipes/pack, Pack o...",540,750,28% off,LuvLap
MamyPoko Pants Pants Extra Absorb Diapers - L,"2,379","2,799",15% off,MamyPoko Pants
Dabur Amla Kids Nourishing Hair Oil,105,120,12% off,Dabur
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,448,699,35% off,Miss
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
Pigeon Baby Powder With Fragrance,224,299,25% off,Pigeon
Enfamil A Plus Follow-up Formula Stage 2,715,NaN,Nan,Enfamil
Manzon Girls Casual Dress Panty,379,"1,099",65% off,Manzon
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
1st Step Powder Box - Blue,159,NaN,Nan,1st Step
Chartbusters New Born Baby Cotton Hosiery Padded Premiu...,259,499,48% off,Chartbusters
Little's Soft Cleansing Baby Wipes Lid Pack of 4,348,796,56% off,Little's
Pampers Premium care Pants Diapers Small Size 21 pc Pac...,284,299,5% off,Pampers
Johnson's Milk Plus Rice Lotion,94,95,1% off,Johnson's
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
Sebamed Baby Cream Extra Soft - 200 Ml,627,637,1% off,Sebamed
Pigeon Liquid Cleanser 200 Ml Refill Combo,224,280,20% off,Pigeon
SYGA Premium  - Manual,404,950,57% off,SYGA
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
Enfamil A Plus Stage 3 Follow-up Formula,479,715,33% off,Enfamil
Mamaearth Nourishing Hair Oil for Babies,269,299,10% off,Mamaearth
Huggies Wonder Sumo Pack - S,"2,303","3,199",28% off,Huggies
Johnson's Milk+ Rice Lotion 200 ml,156,170,8% off,Johnson's
Nestle Cerelac Wheat-Rice Mixed Vegetable Cereal,242,NaN,Nan,Nestle
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
LuvLap Birdie Sipper 160ml,241,455,47% off,LuvLap
Chicco Bottle Wellbeing Pink 250Ml Sil Love In - 250 ml,269,NaN,Nan,Chicco
MOM & SON Cotton Diaper Changing Mat,289,699,58% off,MOM
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Pampers Active Baby Diapers - XL,"1,445","1,499",3% off,Pampers
Johnson's All Day Long Baby Lotion,85,88,3% off,Johnson's
LMN Child Care Booties,199,499,60% off,LMN
Sunbaby Musical Activity Walker With Parent Rod,"1,299","1,799",27% off,Sunbaby
SYGA 4 Pcs Baby Milk Bottle Nipple Straw Brush Sponge N...,199,450,55% off,SYGA
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Himalaya Original Baby Shampoo Baby Boys & Baby Girls,419,550,23% off,Himalaya
BodyGuard Premium Paraben Free Baby Wet Wipes with Aloe...,243,375,35% off,BodyGuard
"Pampers New Diaper Pants Super Value Box, Small (Pack o...","2,319","2,899",20% off,Pampers
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Nestle Lactogen Follow-up Formula Powder (Stage 2),315,NaN,Nan,Nestle
