Product Name,Price,Original Prices,Discount rates,Ratings,Brand
"Motorola One Vision (Sapphire Gradient, 128 GB)","14,999","22,999",34% off,4.1,Motorola
Itel it5260,"1,345",NaN,Nan,4.7,Itel
"Redmi K20 Pro (Flame Red, 128 GB)","26,999","28,999",6% off,4.5,Redmi
Easyfone Royale,"3,399","3,750",9% off,4.1,Easyfone
Tambo A1800,720,NaN,Nan,3.8,Tambo
"OPPO Reno2 F (Lake Green, 128 GB)","23,490","28,990",18% off,4.5,OPPO
"Redmi Note 7S (Onyx Black, 32 GB)","9,999","11,999",16% off,4.4,Redmi
"Motorola One Action (Denim Blue, 128 GB)","10,999","16,999",35% off,4.2,Motorola
Nokia 150/150 DS,"2,156",NaN,Nan,4.2,Nokia
Karbonn K140 Pop,799,NaN,Nan,3.9,Karbonn
Karbonn K140 Pop,789,899,12% off,3.9,Karbonn
"Moto G6 (Indigo Black, 64 GB)","15,999",NaN,Nan,4.2,Moto
Karbonn KX3,799,NaN,Nan,3.9,Karbonn
Karbonn K-Pebble,"1,379",NaN,Nan,3.9,Karbonn
Itel Magic 1 Max,"1,458","1,468",Nan,3.9,Itel
I Kall K2180 Pack of Two Mobile,"1,199","1,299",7% off,3.6,I
"Gionee F9 (Blue, 32 GB)","5,499","7,900",30% off,4.1,Gionee
Itel It 2190,989,NaN,Nan,4.1,Itel
"Tecno Camon 15 (SHOAL GOLD, 64 GB)","11,499",NaN,Nan,4.3,Tecno
"Lenovo K9 (Black, 32 GB)","6,499","9,999",35% off,4.1,Lenovo
"Asus ZenFone Max M2 (Black, 32 GB)","7,499","12,999",42% off,4.3,Asus
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Samsung Galaxy M30 (Gradation Black, 64 GB)","15,990",NaN,Nan,4.4,Samsung
I Kall K2180,649,NaN,Nan,3.7,I
"Asus ZenFone Max M2 (Silver, 32 GB)","7,499","12,999",42% off,4.3,Asus
"Tecno Spark 4 Air (Polar Blue, 32 GB)","6,499","7,999",18% off,4.2,Tecno
"Tecno Spark 4 Air (Nebula Black, 32 GB)","7,150",NaN,Nan,4.2,Tecno
Micromax X807,"1,425",NaN,Nan,4.1,Micromax
Micromax X412,738,799,7% off,3.9,Micromax
"Redmi K20 Pro (Glacier Blue, 128 GB)","26,999","28,999",6% off,4.5,Redmi
"Infinix Note 5 (Milan Black, 32 GB)","7,599","10,999",30% off,4.2,Infinix
BlackBear D101 Handy,"1,099",NaN,Nan,3.3,BlackBear
"Lenovo K9 Note (Black, 64 GB)","7,499","11,999",37% off,4.1,Lenovo
Gfive Classic,649,NaN,Nan,3.6,Gfive
"Redmi Y2 (Black, 64 GB)","8,499","13,499",37% off,4.4,Redmi
"Realme 3i (Diamond Red, 32 GB)","8,499","8,999",5% off,4.4,Realme
Karbonn K2 Boom Box,809,NaN,Nan,3.9,Karbonn
Micromax X421,925,NaN,Nan,4.1,Micromax
"Redmi 8A Dual (Sea Blue, 32 GB)","7,399","7,499",1% off,4.3,Redmi
"Redmi 8A Dual (Midnight Grey, 32 GB)","7,499","7,999",6% off,4.3,Redmi
Micromax X807,"1,425",NaN,Nan,4.1,Micromax
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Realme 3 Pro (Nitro Blue, 64 GB)","15,999","17,999",11% off,4.5,Realme
"Realme 3 Pro (Carbon Grey, 64 GB)","13,999","15,999",12% off,4.5,Realme
"Realme 3 Pro (Carbon Grey, 128 GB)","16,999","19,999",15% off,4.5,Realme
